n,rho,eta,mu,seed,ste_tc_f1,ste_uc_f1,ste_tc_topk_f1,ste_uc_topk_f1,ste_tc_pred_size,ste_uc_pred_size,logloss_train,logloss_val,logloss_test,acc_test,btl_tc_f1,elo_tc_f1,rank_centrality_tc_f1,win_rate_tc_f1
15,0.3,0.05,0.0,51,0.9655172413787443,0.33333333333290277,0.9999999999994333,0.6666666666659444,14.0,9.0,0.6005366356949405,0.7757841805703747,0.8180906627737329,0.4380952380952381,0.9999999999994333,0.9999999999994333,0.9999999999994333,0.9999999999994333
15,0.3,0.05,0.1,42,0.8799999999994369,0.3636363636358347,0.9999999999994287,0.49999999999937494,11.0,7.0,0.6080152683392804,0.7432795253934967,0.7344957489671446,0.4842105263157895,0.9999999999994287,0.9999999999994287,0.9999999999994287,0.9999999999994287
15,0.3,0.05,0.1,43,0.1666666666664861,0.24999999999971875,0.0,0.0,11.0,7.0,0.6229178306100089,0.7871843631049209,0.6677315997807644,0.5789473684210527,0.0,0.0,0.0,0.0
15,0.3,0.05,0.1,44,0.9999999999994333,0.3999999999996266,0.9999999999994333,0.6666666666659444,15.0,12.0,0.6169851994844094,0.7049651461507792,0.7820913982469192,0.5368421052631579,0.9999999999994333,0.9999999999994333,0.9999999999994333,0.9999999999994333
15,0.3,0.05,0.1,45,0.9999999999994333,0.37499999999964845,0.9999999999994333,0.33333333333272225,15.0,13.0,0.6159246358223294,0.7125551482283281,0.6734968748356108,0.5789473684210527,0.9999999999994333,0.9999999999994333,0.9999999999994333,0.9999999999994333
15,0.3,0.05,0.1,46,0.9655172413787443,0.6315789473679224,0.9999999999994287,0.4999999999994167,15.0,13.0,0.6191784587663666,0.7322421795144539,0.7402362556695729,0.4631578947368421,0.9285714285708622,0.9285714285708622,0.9285714285708622,0.9285714285708622
15,0.3,0.05,0.1,47,0.12499999999986719,0.18181818181798345,0.9999999999984999,0.9999999999984999,15.0,10.0,0.6087708712643578,0.7256111053037263,0.7356257636984482,0.5157894736842106,0.0,0.0,0.0,0.0
15,0.3,0.05,0.1,48,0.9999999999994333,0.5882352941171626,0.9999999999994333,0.9999999999992999,15.0,12.0,0.615619794422409,0.7544264105206948,0.7160549278539093,0.5473684210526316,0.9999999999994333,0.9999999999994333,0.9999999999994333,0.9999999999994333
15,0.3,0.05,0.1,49,0.9999999999984999,0.39999999999952,0.9999999999984999,0.9999999999984999,1.0,4.0,0.619032599608668,0.6687549902965875,0.7673719952468058,0.5157894736842106,0.0,0.9999999999984999,0.9999999999984999,0.0
15,0.3,0.05,0.1,50,0.1666666666664861,0.18181818181798345,0.0,0.0,11.0,10.0,0.6032781288990788,0.7450031026305745,0.7056167090648109,0.5052631578947369,0.0,0.0,0.0,0.0
15,0.3,0.05,0.1,51,0.9285714285708647,0.36363636363590085,0.9999999999994333,0.33333333333272225,13.0,8.0,0.583719366596882,0.8147181418581007,0.8560772688978068,0.42105263157894735,0.9999999999994333,0.9999999999994333,0.9999999999994333,0.9999999999994333
15,0.3,0.05,0.3,42,0.8799999999994369,0.35294117647018686,0.9999999999994287,0.49999999999937494,11.0,13.0,0.6185339794439332,0.780975572177631,0.6754360208246258,0.547945205479452,0.9999999999994287,0.9285714285708622,0.9999999999994287,0.9999999999994287
15,0.3,0.05,0.3,43,0.0,0.1666666666664861,0.0,0.0,1.0,11.0,0.6430082879283512,0.7166041680456389,0.7214208260096651,0.547945205479452,0.0,0.0,0.0,0.0
15,0.3,0.05,0.3,44,0.7999999999994559,0.28571428571390817,0.9999999999994333,0.0,10.0,11.0,0.604722270552436,0.7529403544420669,0.798376400807077,0.4794520547945205,0.9999999999994333,0.9999999999994333,0.9999999999994333,0.9999999999994333
15,0.3,0.05,0.3,45,0.8888888888883291,0.49999999999954164,0.9999999999994333,0.0,12.0,9.0,0.6142396334693604,0.7336168551276472,0.6683323880046236,0.6301369863013698,0.9999999999994333,0.9999999999994333,0.9999999999994333,0.9999999999994333
15,0.3,0.05,0.3,46,0.7272727272721985,0.4444444444439506,0.9285714285708622,0.33333333333277776,8.0,12.0,0.6264519068056056,0.8026137684430193,0.7436043364838548,0.5205479452054794,0.9285714285708622,0.9285714285708622,0.9285714285708622,0.9285714285708622
15,0.3,0.05,0.3,47,0.19999999999978,0.18181818181798345,0.9999999999984999,0.9999999999984999,9.0,10.0,0.6002744000994529,0.6651012298306911,0.7404922496658977,0.4520547945205479,0.9999999999984999,0.9999999999984999,0.9999999999984999,0.9999999999984999
15,0.3,0.05,0.3,48,0.7499999999994686,0.4999999999995078,0.9999999999994333,0.39999999999942,9.0,11.0,0.6168149508861989,0.8264490301040408,0.757900573156687,0.4931506849315068,0.9999999999994333,0.9999999999994333,0.9999999999994333,0.9999999999994333
15,0.3,0.05,0.3,49,0.22222222222197527,0.1666666666664861,0.0,0.0,8.0,11.0,0.6193362911320272,0.748321088269227,0.74687701632797,0.5068493150684932,0.9999999999984999,0.0,0.9999999999984999,0.9999999999984999
15,0.3,0.05,0.3,50,0.9999999999984999,0.19999999999978,0.9999999999984999,0.0,1.0,9.0,0.6218179495542072,0.6475938874616948,0.7681161005345488,0.4657534246575342,0.9999999999984999,0.0,0.9999999999984999,0.9999999999984999
15,0.3,0.05,0.3,51,0.12499999999986719,0.3999999999995,0.9999999999994333,0.6666666666659444,1.0,7.0,0.5695362355566149,0.7636370307334259,0.8048674468960514,0.4520547945205479,0.9999999999994333,0.9999999999994333,0.9999999999994333,0.9999999999994333
15,0.3,0.1,0.0,42,0.9655172413787443,0.37499999999957817,0.9285714285708622,0.2499999999994375,15.0,12.0,0.6066638421629748,0.7611187263946443,0.7507001181365711,0.5523809523809524,0.9285714285708622,0.9285714285708622,0.9285714285708622,0.9285714285708622
15,0.3,0.1,0.0,43,0.12499999999986719,0.15384615384598815,0.0,0.0,15.0,12.0,0.633275925435904,0.76461506037094,0.7251622319300953,0.580952380952381,0.0,0.0,0.0,0.0
15,0.3,0.1,0.0,44,0.9999999999994333,0.37499999999964845,0.9999999999994333,0.6666666666659444,15.0,13.0,0.6276829611364644,0.7674658048350715,0.7903714529844347,0.42857142857142855,0.9999999999994333,0.9999999999994333,0.9999999999994333,0.9999999999994333
15,0.3,0.1,0.0,45,0.9999999999994333,0.352941176470256,0.9999999999994333,0.0,15.0,14.0,0.6224628507182699,0.7094460687496348,0.7808181608978634,0.5142857142857142,0.9999999999994333,0.9999999999994333,0.9999999999994333,0.9999999999994333
15,0.3,0.1,0.0,46,0.9655172413787443,0.5555555555550494,0.9999999999994287,0.4999999999994167,15.0,12.0,0.6105796943391757,0.783240004166379,0.757357833173633,0.5238095238095238,0.9999999999994287,0.9285714285708622,0.9999999999994287,0.9999999999994287
15,0.3,0.1,0.0,47,0.14285714285698978,0.18181818181798345,0.0,0.0,13.0,10.0,0.605404162275754,0.6785617815143369,0.7185825875458047,0.5047619047619047,0.0,0.0,0.0,0.0
15,0.3,0.1,0.0,48,0.9655172413787443,0.4705882352936471,0.9999999999994333,0.39999999999942,14.0,12.0,0.6288914339486125,0.7517261155907329,0.7639914719294666,0.44761904761904764,0.9999999999994333,0.9999999999994333,0.9999999999994333,0.9999999999994333
15,0.3,0.1,0.0,49,0.0,0.499999999999375,0.0,0.0,1.0,3.0,0.6224302624165882,0.6834037506143917,0.7618029174122515,0.5904761904761905,0.0,0.0,0.0,0.0
15,0.3,0.1,0.0,50,0.1333333333331911,0.18181818181798345,0.9999999999984999,0.9999999999984999,14.0,10.0,0.6285096524940857,0.6825274602937791,0.6751878952400492,0.5714285714285714,0.9999999999984999,0.9999999999984999,0.9999999999984999,0.9999999999984999
