n,rho,eta,mu,seed,m_per_pair,ste_tc_f1,ste_tc_jaccard,ste_uc_f1,ste_uc_jaccard,ste_tc_topk_f1,ste_uc_topk_f1,ste_top1_tc,ste_tc_pred_size,ste_uc_pred_size,true_tc_size,true_uc_size,logloss_train,logloss_val,logloss_test,acc_test,win_rate_tc_f1,win_rate_uc_f1,win_rate_top1_tc,copeland_tc_f1,copeland_uc_f1,copeland_top1_tc,elo_tc_f1,elo_uc_f1,elo_top1_tc,rank_centrality_tc_f1,rank_centrality_uc_f1,rank_centrality_top1_tc,btl_tc_f1,btl_uc_f1,btl_top1_tc,hodgerank_tc_f1,hodgerank_uc_f1,hodgerank_top1_tc
20,0.6,0.05,0.1,45,10,0.9142857142851658,0.8421052631578947,0.27272727272701236,0.15789473684210525,0.9374999999994414,0.0,1.0,19.0,19.0,16.0,3.0,0.6203001038398763,0.7350298034272899,0.7334429303623906,0.5789473684210527,0.8749999999994453,0.0,1.0,0.8749999999994453,0.33333333333272225,1.0,0.8749999999994453,0.0,1.0,0.8749999999994453,0.0,1.0,0.8749999999994453,0.0,1.0,0.8749999999994453,0.0,1.0
20,0.6,0.05,0.1,46,10,0.9743589743584248,0.95,0.31578947368391136,0.1875,0.99999999999945,0.33333333333272225,1.0,19.0,16.0,20.0,3.0,0.6116290231624217,0.7245305282380494,0.7341852857682508,0.49707602339181284,0.99999999999945,0.0,1.0,0.99999999999945,0.0,1.0,0.99999999999945,0.0,1.0,0.99999999999945,0.0,1.0,0.99999999999945,0.0,1.0,0.99999999999945,0.0,1.0
20,0.6,0.05,0.1,47,10,0.10526315789462604,0.05555555555555555,0.22222222222197527,0.125,0.9999999999984999,0.9999999999984999,1.0,18.0,8.0,1.0,1.0,0.5858879465243352,0.6648525958006037,0.6927724329218328,0.5672514619883041,0.9999999999984999,0.9999999999984999,1.0,0.9999999999984999,0.9999999999984999,1.0,0.0,0.0,0.0,0.9999999999984999,0.9999999999984999,1.0,0.9999999999984999,0.9999999999984999,1.0,0.9999999999984999,0.9999999999984999,1.0
20,0.6,0.05,0.1,48,10,0.09999999999989499,0.05263157894736842,0.09999999999989499,0.05263157894736842,0.0,0.0,0.0,19.0,19.0,1.0,1.0,0.6199272669704182,0.7003550110734665,0.7449249677529494,0.5029239766081871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.6,0.05,0.1,49,10,0.09523809523799547,0.05,0.11111111111099384,0.058823529411764705,0.9999999999984999,0.9999999999984999,1.0,20.0,17.0,1.0,1.0,0.6028742893460386,0.6968423278544704,0.7218447809605225,0.5672514619883041,0.9999999999984999,0.9999999999984999,1.0,0.9999999999984999,0.9999999999984999,1.0,0.0,0.0,0.0,0.9999999999984999,0.9999999999984999,1.0,0.9999999999984999,0.9999999999984999,1.0,0.9999999999984999,0.9999999999984999,1.0
20,0.6,0.05,0.1,50,10,0.9473684210520831,0.9,0.6086956521734366,0.4375,0.99999999999945,0.42857142857086733,1.0,18.0,16.0,20.0,7.0,0.6030500156870816,0.703984524765714,0.7083227602992506,0.5730994152046783,0.99999999999945,0.7142857142851122,1.0,0.99999999999945,0.5714285714279898,1.0,0.99999999999945,0.7142857142851122,1.0,0.99999999999945,0.7142857142851122,1.0,0.99999999999945,0.7142857142851122,1.0,0.99999999999945,0.7142857142851122,1.0
20,0.6,0.05,0.1,51,10,0.09999999999989499,0.05263157894736842,0.15384615384598815,0.08333333333333333,0.0,0.0,0.0,19.0,12.0,1.0,1.0,0.6115616023466839,0.7000482251870284,0.6594232757385584,0.5906432748538012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.8,0.05,0.1,42,10,0.09523809523799547,0.05,0.11764705882340486,0.0625,0.0,0.0,0.0,20.0,16.0,1.0,1.0,0.6097862228482465,0.7314850867209011,0.7151458397891735,0.5672514619883041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.8,0.05,0.1,43,10,0.09523809523799547,0.05,0.09999999999989499,0.05263157894736842,0.0,0.0,0.0,20.0,19.0,1.0,1.0,0.6162258051509708,0.715989845394322,0.7454778146881773,0.5146198830409356,0.9999999999984999,0.9999999999984999,1.0,0.9999999999984999,0.9999999999984999,1.0,0.9999999999984999,0.9999999999984999,1.0,0.9999999999984999,0.9999999999984999,1.0,0.9999999999984999,0.9999999999984999,1.0,0.9999999999984999,0.9999999999984999,1.0
20,0.8,0.05,0.1,44,10,0.09999999999989499,0.05263157894736842,0.11764705882340486,0.0625,0.0,0.0,0.0,19.0,16.0,1.0,1.0,0.6169122381275889,0.7149169983747455,0.7190846775046795,0.5497076023391813,0.0,0.0,0.0,0.9999999999984999,0.9999999999984999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
