n,seed,agent,tc_prob,tc_label,uc_prob,uc_label
30,45,12,0.7698028683662415,0.0,0.750139057636261,0.0
30,45,13,0.7647976279258728,0.0,0.8071395754814148,0.0
30,45,14,0.7183000445365906,0.0,0.6102559566497803,0.0
30,45,15,0.7093343138694763,0.0,0.4516218304634094,0.0
30,45,16,0.7920507788658142,0.0,0.819259762763977,0.0
30,45,17,0.7838716506958008,0.0,0.5037311315536499,0.0
30,45,18,0.783376157283783,0.0,0.7857224941253662,0.0
30,45,19,0.7957942485809326,0.0,0.9099372029304504,0.0
30,45,20,0.7755508422851562,0.0,0.6515349745750427,0.0
30,45,21,0.761277437210083,0.0,0.7495565414428711,0.0
30,45,22,0.7825794219970703,0.0,0.8933969736099243,0.0
30,45,23,0.6801382303237915,0.0,0.6104448437690735,0.0
30,45,24,0.8037511706352234,1.0,0.6613486409187317,1.0
30,45,25,0.8004846572875977,0.0,0.7329397201538086,0.0
30,45,26,0.7544874548912048,0.0,0.5280068516731262,0.0
30,45,27,0.7367571592330933,0.0,0.5604627728462219,0.0
30,45,28,0.7597506046295166,0.0,0.825812578201294,0.0
30,45,29,0.7710390686988831,0.0,0.8721867799758911,0.0
